"Variables ->","obs_l_gdp","obs_dl_cpi","obs_rs","obs_dl_cpi_targ","obs_rrs_ex"
"Comments ->","Real Gross Domestic Product","Consumer Price Index for All Urban Consumers: All Items Less Energy in U.S. City Average","3-Month Treasury Bill Secondary Market Rate","",""
"Class[Size] ->","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]"
"1981Q3",8.85117791e+02,1.21355960e+01,1.50533333e+01,NaN,2.77107071e+00
"1981Q4",8.84022248e+02,6.64995439e+00,1.17500000e+01,NaN,8.40337895e+00
"1982Q1",8.82456509e+02,4.98670751e+00,1.28133333e+01,NaN,6.76329249e+00
"1982Q2",8.82911670e+02,6.46081462e+00,1.24200000e+01,NaN,6.35251872e+00
"1982Q3",8.82528638e+02,6.22096520e+00,9.31666667e+00,NaN,6.19903480e+00
"1982Q4",8.82568577e+02,1.36939538e+00,7.90666667e+00,NaN,7.94727129e+00
"1983Q1",8.83877816e+02,2.18132783e+00,8.10666667e+00,NaN,5.72533883e+00
"1983Q2",8.86127923e+02,4.05820187e+00,8.39666667e+00,NaN,4.04846480e+00
"1983Q3",8.88107268e+02,4.01744254e+00,9.14000000e+00,NaN,4.37922412e+00
"1983Q4",8.90172022e+02,4.50485053e+00,8.80000000e+00,NaN,4.63514947e+00
"1984Q1",8.92107932e+02,6.14491575e+00,9.17000000e+00,NaN,2.65508425e+00
"1984Q2",8.93820968e+02,4.13040133e+00,9.79666667e+00,NaN,5.03959867e+00
"1984Q3",8.94780414e+02,4.46932024e+00,1.03200000e+01,NaN,5.32734643e+00
"1984Q4",8.95597921e+02,3.66569164e+00,8.80333333e+00,NaN,6.65430836e+00
"1985Q1",8.96562328e+02,4.13084566e+00,8.18333333e+00,NaN,4.67248767e+00
"1985Q2",8.97438940e+02,3.47181349e+00,7.46000000e+00,NaN,4.71151985e+00
"1985Q3",8.98954519e+02,2.95204292e+00,7.10666667e+00,NaN,4.50795708e+00
"1985Q4",8.99695097e+02,4.50880631e+00,7.16666667e+00,NaN,2.59786036e+00
"1986Q1",9.00624291e+02,3.97893258e+00,6.89666667e+00,NaN,3.18773408e+00
"1986Q2",9.01073657e+02,3.22630577e+00,6.14000000e+00,NaN,3.67036090e+00
"1986Q3",9.02026100e+02,4.14388788e+00,5.52333333e+00,NaN,1.99611212e+00
"1986Q4",9.02561649e+02,4.10139817e+00,5.35333333e+00,NaN,1.42193516e+00
"1987Q1",9.03303907e+02,3.71340062e+00,5.53666667e+00,NaN,1.63993272e+00
"1987Q2",9.04376972e+02,4.47958738e+00,5.65666667e+00,NaN,1.05707929e+00
"1987Q3",9.05240797e+02,3.63845601e+00,6.04333333e+00,NaN,2.01821065e+00
"1987Q4",9.06943258e+02,4.27811565e+00,5.86333333e+00,NaN,1.76521769e+00
"1988Q1",9.07458582e+02,3.45646750e+00,5.72333333e+00,NaN,2.40686583e+00
"1988Q2",9.08763926e+02,4.74553780e+00,6.21000000e+00,NaN,9.77795537e-01
"1988Q3",9.09348145e+02,5.12338385e+00,7.01000000e+00,NaN,1.08661615e+00
"1988Q4",9.10671846e+02,4.63055380e+00,7.72666667e+00,NaN,2.37944620e+00
"1989Q1",9.11683311e+02,4.47169949e+00,8.54000000e+00,NaN,3.25496718e+00
"1989Q2",9.12443678e+02,4.73627425e+00,8.41000000e+00,NaN,3.80372575e+00
"1989Q3",9.13181824e+02,4.05989172e+00,7.84333333e+00,NaN,4.35010828e+00
"1989Q4",9.13378681e+02,4.83856112e+00,7.65333333e+00,NaN,3.00477221e+00
